unique_key,created_date,closed_date,agency,complaint_type,descriptor,location_type,incident_zip,city,borough,latitude,longitude,anomaly_score,anomaly
68634237,2026-04-11T23:28:40.000,,HPD,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10033.0,NEW YORK,MANHATTAN,40.84711263308333,-73.93533426475268,-0.3160462034330275,1
68642827,2026-04-12T14:02:38.000,,DOHMH,Standing Water,Tires,Tire Shop,11412.0,SAINT ALBANS,QUEENS,40.69412799357439,-73.75242051397916,-0.31602372909675963,1
68641829,2026-04-12T13:30:05.000,,DOHMH,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11374.0,REGO PARK,QUEENS,40.72680614068644,-73.86141679156869,-0.3160161120500153,1
68634186,2026-04-11T23:28:40.000,,HPD,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10033.0,NEW YORK,MANHATTAN,40.84711263308333,-73.93533426475268,-0.3160046409604691,1
68646323,2026-04-12T10:18:31.000,,DOT,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,11214.0,BROOKLYN,BROOKLYN,40.606983915844914,-74.00294596749809,-0.3159947470410821,1
68642848,2026-04-12T14:55:26.000,2026-04-12T16:38:00.000,DHS,Homeless Person Assistance,Chronic,Park/Playground,10033.0,NEW YORK,MANHATTAN,40.85275701500797,-73.93763859319333,-0.31597972878846753,1
68639180,2026-04-12T21:10:56.000,,DOHMH,Mold,Public Complaint - Comm Location,Commercial Building,11373.0,ELMHURST,QUEENS,40.74139341824817,-73.87998928055062,-0.3158885735670373,1
68647364,2026-04-12T16:13:16.000,,TLC,Lost Property,Other,Taxi,10035.0,NEW YORK,MANHATTAN,40.80495859993109,-73.93911739497197,-0.3158706873509661,1
68640198,2026-04-12T16:49:47.000,,HPD,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10012.0,NEW YORK,MANHATTAN,40.72529184311526,-73.99247408597165,-0.315867778171198,1
68639425,2026-04-12T15:28:22.000,,DCWP,Consumer Complaint,Laundromat,Business,10302.0,STATEN ISLAND,STATEN ISLAND,40.6256352504926,-74.1349220020293,-0.3158198012994677,1
68646317,2026-04-12T14:57:19.000,,DOT,Street Condition,Defective Hardware,Street,11205.0,BROOKLYN,BROOKLYN,40.69727820087343,-73.96181644378824,-0.3157853866346445,1
68646354,2026-04-12T14:20:58.000,,DOHMH,Indoor Air Quality,Sewage Odor,1-2 Family Dwelling,11236.0,BROOKLYN,BROOKLYN,40.63578630619054,-73.89477129208535,-0.3157832408067399,1
